order;id;name;group;dataset_repo;source_json;source_audio;local_json;local_audio;enabled
1;dance1;Baile 1;Bailes cortos;pollen-robotics/reachy-mini-emotions-library;dance1.json;dance1.ogg;dataset/data/dance1.json;dataset/data/dance1.ogg;True
2;dance2;Baile 2;Bailes cortos;pollen-robotics/reachy-mini-emotions-library;dance2.json;dance2.ogg;dataset/data/dance2.json;dataset/data/dance2.ogg;True
3;dance3;Baile 3;Bailes cortos;pollen-robotics/reachy-mini-emotions-library;dance3.json;dance3.ogg;dataset/data/dance3.json;dataset/data/dance3.ogg;True
4;las-ketchup;Las Ketchup;Música y fiesta;Anne-Charlotte/music;data/las-ketchup.json;data/las-ketchup.ogg;dataset/data/las-ketchup.json;dataset/data/las-ketchup.ogg;True
5;michael-jackson-thriller;Michael Jackson — Thriller;Música y fiesta;Anne-Charlotte/music;data/michael-jackson-thriller.json;data/michael-jackson-thriller.ogg;dataset/data/michael-jackson-thriller.json;dataset/data/michael-jackson-thriller.ogg;True
6;spice-girls;Spice Girls;Música y fiesta;Anne-Charlotte/music;data/spice-girls.json;data/spice-girls.ogg;dataset/data/spice-girls.json;dataset/data/spice-girls.ogg;True
7;pharrell-williams-happy;Pharrell Williams — Happy;Música y fiesta;Anne-Charlotte/music;data/pharrell-williams-happy.json;data/pharrell-williams-happy.ogg;dataset/data/pharrell-williams-happy.json;dataset/data/pharrell-williams-happy.ogg;True
8;queen-we-will-rock-you;Queen — We Will Rock You;Rock;Anne-Charlotte/music;data/queen-we-will-rock-you.json;data/queen-we-will-rock-you.ogg;dataset/data/queen-we-will-rock-you.json;dataset/data/queen-we-will-rock-you.ogg;True
9;the-white-stripes-seven-nation-army;The White Stripes — Seven Nation Army;Rock;Anne-Charlotte/music;data/the-white-stripes-seven-nation-army.json;data/the-white-stripes-seven-nation-army.ogg;dataset/data/the-white-stripes-seven-nation-army.json;dataset/data/the-white-stripes-seven-nation-army.ogg;True
10;bohemian-rhapsody;Queen — Bohemian Rhapsody;Canciones;Anne-Charlotte/reachy-songs;data/bohemian-rhapsody.json;data/bohemian-rhapsody.ogg;dataset/data/bohemian-rhapsody.json;dataset/data/bohemian-rhapsody.ogg;True
11;happy-birthday;Cumpleaños feliz;Celebración;Anne-Charlotte/reachy-songs;data/happy-birthday.json;data/happy-birthday.ogg;dataset/data/happy-birthday.json;dataset/data/happy-birthday.ogg;True
12;harry-potter;Harry Potter;Bandas sonoras;Anne-Charlotte/reachy-songs;data/harry-potter.json;data/harry-potter.ogg;dataset/data/harry-potter.json;dataset/data/harry-potter.ogg;True
13;star-wars;Star Wars;Bandas sonoras;Anne-Charlotte/reachy-songs;data/star-wars.json;data/star-wars.ogg;dataset/data/star-wars.json;dataset/data/star-wars.ogg;True
14;the-lion-king;El rey león;Bandas sonoras;Anne-Charlotte/reachy-songs;data/the-lion-king.json;data/the-lion-king.ogg;dataset/data/the-lion-king.json;dataset/data/the-lion-king.ogg;True
15;titanic;Titanic;Bandas sonoras;Anne-Charlotte/reachy-songs;data/titanic.json;data/titanic.ogg;dataset/data/titanic.json;dataset/data/titanic.ogg;True
16;secret-dance;Baile secreto;Sorpresa;apirrone/marionette-moves;data/secret-dance.json;data/secret-dance.wav;dataset/data/secret-dance.json;dataset/data/secret-dance.wav;True
