dataset;movimiento;json;tiene_audio;audio
Anne-Charlotte__music;6c94a1f2923127e2630b44c93dc94063573fb21e;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\.cache\huggingface\trees\6c94a1f2923127e2630b44c93dc94063573fb21e.json;False;
Anne-Charlotte__music;beyonce-single-ladies;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\beyonce-single-ladies.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\beyonce-single-ladies.ogg
Anne-Charlotte__music;demon-hunters-1;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\demon-hunters-1.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\demon-hunters-1.ogg
Anne-Charlotte__music;eagles-hotel-california;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\eagles-hotel-california.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\eagles-hotel-california.ogg
Anne-Charlotte__music;eminem-lose-yourself;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\eminem-lose-yourself.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\eminem-lose-yourself.ogg
Anne-Charlotte__music;feel-the-magic-in-the-air;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\feel-the-magic-in-the-air.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\feel-the-magic-in-the-air.ogg
Anne-Charlotte__music;katy-perry-fireworks;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\katy-perry-fireworks.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\katy-perry-fireworks.ogg
Anne-Charlotte__music;las-ketchup;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\las-ketchup.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\las-ketchup.ogg
Anne-Charlotte__music;michael-jackson-thriller-official-video-shortene;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\michael-jackson-thriller-official-video-shortene.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\michael-jackson-thriller-official-video-shortene.ogg
Anne-Charlotte__music;michael-jackson-thriller;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\michael-jackson-thriller.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\michael-jackson-thriller.ogg
Anne-Charlotte__music;paint-it-black;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\paint-it-black.json;True;D:\ritxi\AHOOTSA8\recursos_bailes\datasets_hf\Anne-Charlotte__music\data\paint-it-black.ogg
